id_pessoa,idade_pessoa,renda_pessoa,propriedade_residencial_pessoa,tempo_emprego_pessoa,id_emprestimo,motivo_emprestimo,nota_emprestimo,quantia_emprestimo,taxa_emprestimo,status_emprestimo,percentual_renda_emprestimo,id_banco,existencia_inadimplencia_banco,tempo_primeiro_credito_banco
tad8vkTn-vp4l,33.0000,48000.0000,Rent,17,TOt8c6L6-s7ik,Debtconsolidation,B,3500.0000,11.86,0,0.07,RrDGKyTj-Klus,N,10.0000
pNnqq0Ql-mXDg,22.0000,51000.0000,Rent,6,c3aDZaHQ-Yz61,Personal,A,7500.0000,5.99,0,0.15,jgLTv4dz-RrbJ,N,2.0000
WvikzddB-Fzo8,23.0000,85000.0000,Rent,2,NRNKsI3j-vy1N,Medical,B,9600.0000,10.99,0,0.11,qMi6xZcZ-7pv3,N,4.0000
qlWL5n7v-00z9,27.0000,50000.0000,Rent,5,M4zrvEh2-v0UC,Venture,B,12000.0000,10.37,0,0.24,w6OC79WL-49ZC,N,9.0000
T8rX7u9r-6CAP,22.0000,60000.0000,Rent,0,soThg0Og-tPqv,Education,A,6025.0000,11.013104465037149,0,0.1,8fQaiGcL-Xff3,N,4.0000
4fXmWjJB-zGmt,21.0000,27000.0000,Rent,5,izxP0wrw-owKw,Medical,D,4000.0000,15.58,1,0.15,MtShFnZa-oaMO,Y,2.0000
bWBG5sxh-O8H3,21.0000,45000.0000,Mortgage,4,gEPFdDtv-n6z8,Education,A,5000.0000,7.14,0,0.11,914X1W2D-PEHF,N,4.0000
bRYeof0L-cqHI,30.0000,100000.0000,Rent,13,0T2YFLWb-IZze,Debtconsolidation,A,12000.0000,7.88,0,0.12,0Y1a64ag-4RLW,N,9.0000
d0YRlkdZ-nuLT,28.0000,83000.0000,Mortgage,6,xzTEiD3e-BbFZ,Debtconsolidation,B,5000.0000,11.013104465037149,0,0.06,Z5LA433k-5vqf,N,9.0000
zkFNiaiq-S3KA,29.0000,150000.0000,Mortgage,14,aCvxYvg3-1uQU,Venture,A,12000.0000,5.42,0,0.08,Pvox78f0-Mriv,N,9.0000
Xw48G3Ub-zfyl,27.0000,37000.0000,Rent,4.787874228975478,9qAgSRYz-9TEO,Medical,B,9000.0000,11.11,0,0.24,rxjKKPyc-ERNu,N,5.0000
ICprTb6t-yPXf,25.0000,42000.0000,Rent,3,5JiaDi9D-tg1l,Venture,A,18000.0000,6.17,1,0.43,1lafB6Nt-Yb9L,N,2.0000
tREBnFsO-MvyH,25.0000,55000.0000,Own,1,CkmEg4D2-tqBQ,Personal,C,6000.0000,15.23,0,0.11,EWgmyfcv-zPWH,Y,3.0000
bvxfcsYz-78hf,24.0000,62400.0000,Rent,8,hYW1c9t4-3BiA,Venture,B,20000.0000,11.12,1,0.32,rwUmzgZy-WKZB,N,2.0000
8HJkpRUF-fE2T,24.0000,40000.0000,Mortgage,3,nsSBn0zA-CADU,Venture,B,10500.0000,11.36,0,0.26,ByyHLaTN-3l3S,N,4.0000
e6UBZCqm-1fnL,25.0000,24000.0000,Mortgage,0,jtUaT92L-W55Q,Debtconsolidation,C,6000.0000,13.49,0,0.25,Hn6dGjED-gPQH,Y,3.0000
TqMkt1FG-n6Oa,26.0000,78000.0000,Mortgage,7,Xyppv91Z-69Pk,Venture,A,7200.0000,6.62,0,0.09,XiKZ4kpG-MQkv,N,4.0000
hoxwmYCK-CWcb,28.0000,73073.0000,Mortgage,8,KEIbtO8I-2gfz,Venture,A,4200.0000,5.79,0,0.06,XHX0vR63-HBeM,N,7.0000
vbwEfJTD-LdID,35.0000,52000.0000,Rent,2,6ABpkht2-SdCN,Medical,B,3000.0000,11.48,0,0.06,CE0NeKdg-IICE,N,7.0000
G1pWB5Bq-mkFg,25.0000,31200.0000,Own,9,Y5rt4Pf1-RptN,Personal,A,15000.0000,6.03,0,0.48,H5uMTSKK-ChzA,N,4.0000
